"comparison_universe","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"All DTU genes","GO:0045861","negative regulation of proteolysis","16/431","49/2524",0.326530612244898,1.9122117524504,2.92562560114873,0.0054103149019664,0.566169881147751,0.549739192361954,"Dnajb6/Rab23/Spink2/Spock1/Taf9/Rps6ka1/Timp1/Ins2/Snca/Trim39/Svip/Nr1h3/Tfpi/Rffl/Furin/Fmr1",16
"All DTU genes","GO:0010660","regulation of muscle cell apoptotic process","10/431","25/2524",0.4,2.34245939675174,3.06055847537547,0.00543604605511275,0.566169881147751,0.549739192361954,"Gria4/Trip10/Dnmt1/Cav1/Camk2a/Ilk/Npm1/Pde1a/Ambra1/Sirt1",10
"All DTU genes","GO:0071356","cellular response to tumor necrosis factor","11/431","29/2524",0.379310344827586,2.22129770381631,3.0012205446023,0.00578176779529515,0.566169881147751,0.549739192361954,"Cpne1/Cib1/Ikbkg/Ccl25/Ilk/Trim32/Traf6/Tjp2/Rffl/Hipk1/Sirt1",11
"All DTU genes","GO:0033673","negative regulation of kinase activity","12/431","33/2524",0.363636363636364,2.12950854250158,2.96327715017298,0.00593018704637102,0.566169881147751,0.549739192361954,"Apoe/Cdkn2c/Foxa2/Pkig/Cav1/Spry1/Cdkn1a/Npm1/Smcr8/Sirt1/Zgpat/Hipk3",12
"All DTU genes","GO:0072331","signal transduction by p53 class mediator","12/431","33/2524",0.363636363636364,2.12950854250158,2.96327715017298,0.00593018704637102,0.566169881147751,0.549739192361954,"Hnrnpk/Acer2/Cd74/Cdkn1a/Mlf1/Npm1/Rrp8/E2f2/Stk11/Rffl/Hipk1/Sirt1",12
"All DTU genes","GO:0010656","negative regulation of muscle cell apoptotic process","8/431","18/2524",0.444444444444444,2.60273266305749,3.09613189386871,0.00603374563435737,0.566169881147751,0.549739192361954,"Gria4/Trip10/Dnmt1/Cav1/Ilk/Npm1/Ambra1/Sirt1",8
"All DTU genes","GO:0071901","negative regulation of protein serine/threonine kinase activity","8/431","18/2524",0.444444444444444,2.60273266305749,3.09613189386871,0.00603374563435737,0.566169881147751,0.549739192361954,"Apoe/Cdkn2c/Pkig/Cav1/Spry1/Cdkn1a/Sirt1/Hipk3",8
"All DTU genes","GO:0010647","positive regulation of cell communication","73/431","329/2524",0.221884498480243,1.29938857114648,2.64197406738785,0.00617345775209954,0.566169881147751,0.549739192361954,"Apoe/Cpne1/Crbn/Dlx5/Eng/Flna/Foxa2/Fxr1/Gria4/Hnrnpk/Itsn1/Ntf3/Ppp2r1b/Schip1/Cib1/Kit/Tmem33/Trem2/Cacnb3/Foxp1/Ly96/Nlgn1/Pde9a/Tek/Wnt5a/Cav1/Tubd1/Adcy8/Brd4/Ikbkg/Adgrg1/Camk2a/Ccl25/Cd74/Fcgr2b/Fgfr2/Fis1/Flot2/Gpr68/Ilk/Ins2/Lck/Map4k2/Mllt3/Ndrg4/Osbpl8/Ppp2r3a/Snca/Sorbs3/Trim32/Trim39/Shisa7/Smcr8/Csnk1g2/Sulf1/Grik2/Tmem9/Ambra1/Traf6/Ano1/Nr1h3/Stk11/Rbp4/Sirt1/Bad/Crlf2/Creb1/Adra1a/Fgd4/Gck/Furin/Fmr1/Jak3",73
"All DTU genes","GO:0023056","positive regulation of signaling","73/431","329/2524",0.221884498480243,1.29938857114648,2.64197406738785,0.00617345775209954,0.566169881147751,0.549739192361954,"Apoe/Cpne1/Crbn/Dlx5/Eng/Flna/Foxa2/Fxr1/Gria4/Hnrnpk/Itsn1/Ntf3/Ppp2r1b/Schip1/Cib1/Kit/Tmem33/Trem2/Cacnb3/Foxp1/Ly96/Nlgn1/Pde9a/Tek/Wnt5a/Cav1/Tubd1/Adcy8/Brd4/Ikbkg/Adgrg1/Camk2a/Ccl25/Cd74/Fcgr2b/Fgfr2/Fis1/Flot2/Gpr68/Ilk/Ins2/Lck/Map4k2/Mllt3/Ndrg4/Osbpl8/Ppp2r3a/Snca/Sorbs3/Trim32/Trim39/Shisa7/Smcr8/Csnk1g2/Sulf1/Grik2/Tmem9/Ambra1/Traf6/Ano1/Nr1h3/Stk11/Rbp4/Sirt1/Bad/Crlf2/Creb1/Adra1a/Fgd4/Gck/Furin/Fmr1/Jak3",73
"All DTU genes","GO:0008283","cell population proliferation","76/431","345/2524",0.220289855072464,1.29005010255893,2.63067139192937,0.00629898649321073,0.566169881147751,0.549739192361954,"Apoe/Cdkn2c/Dach1/Dlx5/Egfl7/Eng/Flna/Kdm2b/Meis1/Nde1/Ntf3/Sp2/Spink2/Btrc/Cib1/Dnmt1/Fgfrl1/Kit/Krit1/Pemt/Slc4a2/Trem2/Txnrd1/Foxp1/Nfib/Pde9a/Tek/Vstm2a/Wnt5a/Cav1/Rps6ka1/Brd4/Cd151/Impdh1/Ppargc1a/Spry1/Timp1/Tmem196/Acer2/Adgrg1/Cd37/Cd74/Cdkn1a/Crip3/Fcgr2b/Fgfr2/Ilk/Ins2/Kif3a/Ndrg4/Nfatc2/Npm1/Parp10/Pde1a/Prc1/Trim32/Cacnb4/Sulf1/Ambra1/Traf6/Col9a1/Stk11/Azin1/Brd9/Mecom/Rbp4/Hipk1/Ift122/Sirt1/Bad/Crlf2/Creb1/Etv6/Txnip/Tead3/Jak3",76
