"comparison","region_pair","stage","replicate","pearson_log1p"
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E11.5","1 versus 2",0.97658715494779
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E11.5","2 versus 1",0.973734484392959
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E11.5","2 versus 2",0.973001299508437
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E12.5","1 versus 1",0.970730915811098
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E12.5","1 versus 2",0.968395166036396
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E12.5","2 versus 1",0.969123813768413
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E12.5","2 versus 2",0.96707416282383
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E13.5","1 versus 1",0.965686624385906
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E13.5","1 versus 2",0.966355948995201
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E13.5","2 versus 1",0.967617037471117
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E13.5","2 versus 2",0.965965813818727
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E14.5","1 versus 1",0.958870473376407
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E14.5","1 versus 2",0.968948975112287
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E14.5","2 versus 1",0.96115243409121
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E14.5","2 versus 2",0.96915453382445
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E15.5","1 versus 1",0.831468504241106
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E15.5","1 versus 2",0.838780590536968
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E15.5","2 versus 1",0.823611949182979
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E15.5","2 versus 2",0.829079668527783
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E16.5","1 versus 1",0.972672457089405
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E16.5","1 versus 2",0.96979457278168
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E16.5","2 versus 1",0.973819544868979
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","E16.5","2 versus 2",0.969636175975758
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","P0","1 versus 1",0.97235268784932
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","P0","1 versus 2",0.970071326066985
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","P0","2 versus 1",0.97277627957028
"Same-stage cross-region replicate combinations","Forebrain vs Midbrain","P0","2 versus 2",0.971544215489783
"Same-stage cross-region replicate combinations","Hindbrain vs Midbrain","E10.5","1 versus 1",0.975000947236389
