"ID","Description","unadjusted_fold_enrichment","unadjusted_FDR","adjusted_odds_ratio","adjusted_CI_low","adjusted_CI_high","adjusted_p_value","term_genes_in_universe","shared_core_genes_in_term","adjusted_FDR"
"GO:0016358","dendrite development",2.6097099531999,2.96305818451545e-12,1.93793199910321,1.35251975815735,2.776728702481,0.000311377724885458,321,80,0.000498204359816733
"GO:0050807","regulation of synapse organization",2.63497552750172,2.99035818393644e-12,2.19132660224477,1.53145784861996,3.13551710354467,1.77369109889156e-05,306,77,5.9954844507862e-05
"GO:0048813","dendrite morphogenesis",3.11915865151074,6.80555785525225e-12,2.59951917104499,1.6712578173342,4.04336174260008,2.24830666904483e-05,188,56,5.9954844507862e-05
"GO:0050803","regulation of synapse structure or activity",2.56784239304307,6.80555785525225e-12,2.08622894036458,1.45787634370738,2.98540490789959,5.77686951106637e-05,314,77,0.000115537390221327
"GO:0031346","positive regulation of cell projection organization",2.18351096504699,3.29250958633164e-10,1.51470647881763,1.09160754713572,2.10179539614967,0.0129748867681457,446,93,0.0129748867681457
"GO:0099173","postsynapse organization",2.62829503902199,4.62811946904616e-10,2.36773625211248,1.61620820246066,3.46872076941096,9.67959682097558e-06,251,63,5.9954844507862e-05
"GO:0007409","axonogenesis",2.09429223744292,7.55393942966073e-10,1.51596733926123,1.09998373683625,2.08926450159769,0.0110124242396177,490,98,0.0125856277024203
"GO:0099175","regulation of postsynapse organization",3.11108629475217,1.45953417956293e-08,2.07924103091826,1.24185112382777,3.4812894892976,0.00537403860700507,138,41,0.0071653848093401
