"comparison","set_1","set_2","observed_overlap","expected_overlap_independence","fold_over_independence","jaccard","overlap_coefficient","hypergeometric_p"
"Forebrain vs Hindbrain",2268,2258,2251,237.728344629097,9.4687909576454,0.989450549450549,0.996899911426041,0
"Forebrain vs Midbrain",2268,2393,1916,251.941509609136,7.60493974562786,0.69799635701275,0.844797178130511,0
"Hindbrain vs Midbrain",2258,2393,1905,250.830656392164,7.5947654381672,0.69373634377276,0.843666961913198,0
"All three regions",NA,NA,1902,26.4081296396541,72.023275633424,0.691887959257912,0.842338352524358,NA
