"metric","value"
"Total libraries",48
"Stages per region",8
"Pairwise contrasts per region",28
"Analyzable gene universe",21542
"DTU gene union",2749
"Shared DTU core",1902
"Midbrain-only DTU genes",474
"Forebrain DTU genes",2268
"Hindbrain DTU genes",2258
"Midbrain DTU genes",2393
