"event","event_label","e155_positive","e155_total","e155_prevalence","comparison_positive","comparison_total","comparison_prevalence","prevalence_difference","cluster_bootstrap_ci_low","cluster_bootstrap_ci_high"
"ES","Exon skipping",507,1073,0.472506989748369,1632,4277,0.381575870937573,0.090931118810796,0.0591416673928123,0.122153398134466
"MEE","Mutually exclusive exon",24,1073,0.0223671947809879,40,4277,0.00935234977788169,0.0130148450031062,0.00211183654620148,0.0255255215899422
"MES","Multiple exon skipping",142,1073,0.132339235787512,364,4277,0.0851063829787234,0.0472328528087882,0.0237007371955989,0.0716114262161182
"IR","Intron retention",44,1073,0.0410065237651445,206,4277,0.0481646013560907,-0.00715807759094626,-0.0217644781236037,0.00805360933417488
"A5","Alternative 5' splice site",132,1073,0.123019571295433,740,4277,0.173018470890811,-0.049998899595378,-0.073644111404869,-0.0251917999413854
"A3","Alternative 3' splice site",148,1073,0.137931034482759,694,4277,0.162263268646247,-0.0243322341634888,-0.0492311784527427,0.00148825849484127
"ATSS","Alternative transcript start",269,1073,0.250698974836906,1019,4277,0.238251110591536,0.0124478642453698,-0.0181863814454754,0.0421865289167618
"ATTS","Alternative transcript end",140,1073,0.130475302889096,441,4277,0.103109656301146,0.0273656465879503,0.0035290359781461,0.0518236664181717
