"gene_id","gene_name","isoform_id","region","stage","stage_index","target_mean_if","other_mean_if","target_difference","target_vs_other_1","target_vs_other_2","other_region_difference","max_pair_q","max_pair_q_by","state","gene_simes_p","gene_q","gene_bonferroni_p","gene_q_by"
"Gm2694","Gm2694","NR_033430","Midbrain","15.5",6,0.0791,0.3103,-0.2312,-0.2312,-0.2312,0,0.00255243506180841,0.0336669098486353,-1,0.000306104905363922,0.00199294758442485,0.00121657166883031,0.0683219841868756
"Reps1","Reps1","NM_009048","Midbrain","13.5",4,0.8799,1,-0.1201,-0.1201,-0.1201,0,0.00255649142891155,0.0337204137937964,-1,8.68784416831415e-05,0.000654017479578518,0.000345258329091407,0.0222721497586685
"Ntng1","Ntng1","NM_001163349","Midbrain","15.5",6,1,0.108675,0.891325,0.89135,0.8913,-4.99999999999945e-05,0.00256076714170158,0.0337768109336079,1,0.00109751617279516,0.0061409920817646,0.00306360524637652,0.154006050720958
"Alox5ap","Alox5ap","NM_001308462","Midbrain","14.5",5,0.70855,0,0.70855,0.70855,0.70855,0,0.00256076714170158,0.0337768109336079,1,0.000310054120582594,0.00201579220157178,0.00122557128098122,0.0687337546520139
"Rims1","Rims1","NM_001012623","Midbrain","15.5",6,0.11315,0.414825,-0.301675,-0.3017,-0.30165,5.000000000005e-05,0.00256076714170158,0.0337768109336079,-1,0.00152955807892957,0.00814992703988432,0.00305494673596101,0.153758301440473
"Gm2694","Gm2694","NR_125722","Midbrain","15.5",6,0.9209,0.6897,0.2312,0.2312,0.2312,0,0.00256076714170158,0.0337768109336079,1,0.000306104905363922,0.00199294758442485,0.00121657166883031,0.0683219841868756
"Reps1","Reps1","NM_001111065","Midbrain","13.5",4,0.1201,0,0.1201,0.1201,0.1201,0,0.00256076714170158,0.0337768109336079,1,8.68784416831415e-05,0.000654017479578518,0.000345258329091407,0.0222721497586685
"Tcf7l2","Tcf7l2","NM_009333","Midbrain","0",8,0.08085,0.255325,-0.174475,-0.17445,-0.1745,-5.0000000000161e-05,0.00256191957071805,0.0337920116038953,-1,7.65713832265965e-05,0.000591007118091285,0.000153142766453193,0.0110361931143073
"Alox5ap","Alox5ap","NM_009663","Midbrain","14.5",5,0.29145,1,-0.70855,-0.70855,-0.70855,0,0.00258557456850921,0.0341040237251911,-1,0.000310054120582594,0.00201579220157178,0.00122557128098122,0.0687337546520139
"Map2k7","Map2k7","NM_001164172","Midbrain","15.5",6,0.49805,0.0395,0.45855,0.45855,0.45855,6.93889390390723e-18,0.00258897505527622,0.034148876533844,1,7.18417917425577e-08,1.05054275017791e-06,1.43683583485115e-07,1.91675896543868e-05
"Skor1","Skor1","NM_001163758","Midbrain","11.5",2,1,0.435975,0.564025,0.56395,0.5641,0.000150000000000095,0.0025997935673131,0.0342915739426407,1,0.000710439016085475,0.00422845172512772,0.00249607109234951,0.129585163231061
"Pitpnb","Pitpnb","NM_019640","Midbrain","15.5",6,0.53485,0.253125,0.281725,0.28175,0.2817,-5.000000000005e-05,0.00265254248787106,0.0349873382265632,1,0.00127742479163432,0.00702737172032485,0.00254756185981475,0.131926032712646
"Zfp422","Zfp422","NM_026057","Midbrain","15.5",6,0.81435,0.70105,0.1133,0.1133,0.1133,1.11022302462516e-16,0.00272136258643116,0.0358950831830031,1,0.000984882361311269,0.0055997597114555,0.00196976472262253,0.104364690647682
"Oprm1","Oprm1","NM_001304938","Midbrain","12.5",3,0,0.792925,-0.792925,-0.7929,-0.79295,-4.99999999999945e-05,0.00272480981021688,0.0359405524582684,-1,0.000103903511135067,0.000768870906762927,0.000207807022270134,0.0145186768669183
"Arhgap21","Arhgap21","NM_001128084","Midbrain","0",8,0.90335,0.58695,0.3164,0.3164,0.3164,1.11022302462516e-16,0.00273417269207263,0.0360640499388027,1,0.000333061584405899,0.00215820545244278,0.00132285290590331,0.0732921483594581
"Iqsec3","Iqsec3","NR_110358","Midbrain","15.5",6,0,0.12165,-0.12165,-0.12165,-0.12165,0,0.00274015849372695,0.0361430033459563,-1,0.000995617423050895,0.00564676697063686,0.00199123484610179,0.105366816319225
