"isoform_id","gene_id","gene_name","region","start_stage","end_stage","n_stages","direction","max_abs_usage_difference","mean_abs_usage_difference","worst_pair_q","flanking_max_abs_difference","gene_q","replicate_separation","replicate_consistent","reciprocal_exchange"
"NM_001303033","Ubr3","Ubr3","Midbrain","16.5","16.5",1,"higher",0.3737,0.3737,0.00242662974459242,0.0929,0.00188605211593817,0.3426,TRUE,TRUE
"NM_001302386","Clcn4-2","Clcn4-2","Midbrain","15.5","15.5",1,"higher",0.1888,0.1888,0.00245583954178499,0.0198,0.00644993264134552,0.1624,TRUE,FALSE
"NM_001165256","Dcaf4","Dcaf4","Midbrain","15.5","15.5",1,"higher",0.177525,0.177525,0.00246095812994196,0.0286,0.00191101647202366,0.121,TRUE,TRUE
"NM_026511","Apopt1","Apopt1","Midbrain","15.5","15.5",1,"higher",0.2047,0.2047,0.00246187229142147,0.0988000000000001,0.00191101647202366,0.1295,TRUE,TRUE
"NM_178698","Pigv","Pigv","Midbrain","15.5","15.5",1,"higher",0.3979,0.3979,0.00250301810344836,0.0739500000000001,0.00193854500014056,0.352,TRUE,TRUE
"NM_153597","Trpt1","Trpt1","Midbrain","15.5","15.5",1,"higher",0.3732,0.3732,0.00250354466609338,0.09915,0.00196011604195459,0.331,TRUE,TRUE
"NM_027884","Tns1","Tns1","Midbrain","15.5","15.5",1,"higher",0.1198,0.1198,0.00250354466609338,0.02705,0.00215856117087212,0.1164,TRUE,TRUE
"NR_027351","Trpt1","Trpt1","Midbrain","15.5","15.5",1,"lower",0.3732,0.3732,0.00252341217622893,0.09915,0.00196011604195459,0.331,TRUE,TRUE
"NR_033430","Gm2694","Gm2694","Midbrain","15.5","15.5",1,"lower",0.2312,0.2312,0.00255243506180841,0.02705,0.00199294758442485,0.1343,TRUE,TRUE
"NM_001163349","Ntng1","Ntng1","Midbrain","15.5","15.5",1,"higher",0.891325,0.891325,0.00256076714170158,0.01545,0.0061409920817646,0.8704,TRUE,FALSE
"NM_001308462","Alox5ap","Alox5ap","Midbrain","14.5","14.5",1,"higher",0.70855,0.70855,0.00256076714170158,0,0.00201579220157178,0.4784,TRUE,TRUE
"NM_001012623","Rims1","Rims1","Midbrain","15.5","15.5",1,"lower",0.301675,0.301675,0.00256076714170158,0.0502,0.00814992703988432,0.2114,TRUE,FALSE
"NR_125722","Gm2694","Gm2694","Midbrain","15.5","15.5",1,"higher",0.2312,0.2312,0.00256076714170158,0.0270499999999999,0.00199294758442485,0.1343,TRUE,TRUE
"NM_009663","Alox5ap","Alox5ap","Midbrain","14.5","14.5",1,"lower",0.70855,0.70855,0.00258557456850921,0,0.00201579220157178,0.4784,TRUE,TRUE
"NM_001164172","Map2k7","Map2k7","Midbrain","15.5","15.5",1,"higher",0.45855,0.45855,0.00258897505527622,0.0457,1.05054275017791e-06,0.3996,TRUE,FALSE
"NM_019640","Pitpnb","Pitpnb","Midbrain","15.5","15.5",1,"higher",0.281725,0.281725,0.00265254248787106,0.0468500000000001,0.00702737172032485,0.2304,TRUE,TRUE
"NM_026057","Zfp422","Zfp422","Midbrain","15.5","15.5",1,"higher",0.1133,0.1133,0.00272136258643116,0.0224000000000001,0.0055997597114555,0.0827,TRUE,FALSE
"NR_110358","Iqsec3","Iqsec3","Midbrain","15.5","15.5",1,"lower",0.12165,0.12165,0.00274015849372695,0.0343,0.00564676697063686,0.1041,TRUE,FALSE
"NM_001289895","Tns1","Tns1","Midbrain","15.5","15.5",1,"lower",0.1198,0.1198,0.00275324707464556,0.02705,0.00215856117087212,0.1164,TRUE,TRUE
"NM_001161852","Fbxo44","Fbxo44","Midbrain","15.5","15.5",1,"lower",0.1924,0.1924,0.00279917851484962,0.0393500000000001,0.00739679489375326,0.1726,TRUE,FALSE
"NM_025518","Dus2","Dus2","Midbrain","12.5","12.5",1,"lower",0.15775,0.15775,0.00285395387110324,0.0468500000000001,0.00230841419579521,0.0673,TRUE,TRUE
"NM_010801","Mlf1","Mlf1","Midbrain","15.5","15.5",1,"lower",0.4107,0.4107,0.00288825586697661,0.00780000000000003,0.00236361093522393,0.3642,TRUE,TRUE
"NM_001252637","Rhobtb1","Rhobtb1","Midbrain","15.5","15.5",1,"higher",0.308075,0.308075,0.00292164633308054,0.0372500000000001,0.00602061499713986,0.2072,TRUE,FALSE
"NM_001301176","Dus2","Dus2","Midbrain","12.5","12.5",1,"higher",0.15775,0.15775,0.00293425089971313,0.04685,0.00230841419579521,0.0673,TRUE,TRUE
"NM_175025","Atp2c1","Atp2c1","Midbrain","15.5","15.5",1,"lower",0.31745,0.31745,0.00298675704181866,0.0667999999999999,0.0010755307158011,0.2115,TRUE,TRUE
"NM_001039543","Mlf1","Mlf1","Midbrain","15.5","15.5",1,"higher",0.4107,0.4107,0.00300920667999887,0.00779999999999999,0.00236361093522393,0.3642,TRUE,TRUE
