"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","group","GeneFraction","BackgroundFraction","enrichment"
"GO:0097061","dendritic spine organization","34/1752","106/18346",0.320754716981132,3.35877056948393,7.91364532600334,1.02718609857491e-10,5.48050473866921e-08,4.65035160991185e-08,"Abi2/Actr3/App/Arhgap33/Baiap2/Caprin1/Cask/Cdc42/Cntnap2/Cttn/Dnm1l/Dvl1/Ephb1/Homer1/Itga3/Mfn2/Opa1/Stau2/Ube3a/Zmynd8/Kif1a/Pafah1b1/Pak3/Pdlim5/Wasl/Arhgap44/Camk2b/Grin1/Rph3a/Dnm3/Hdac6/Lzts3/Mtmr2/Caprin2",34,"Shared core",0.0194063926940639,0.00577782622915077,3.35877056948393
"GO:0032535","regulation of cellular component size","78/1752","390/18346",0.2,2.09429223744292,7.09759460012641,1.97645606372615e-10,9.66651719834065e-08,8.20229266446352e-08,"Abl1/Actr3/Add1/Add3/Akt1s1/Atp13a2/Baiap2/Bin1/Capzb/Cdkl3/Clasp2/Cttn/Cxcl12/Dcx/Dlg1/Dmtn/Dnm1/Epha7/Evl/Fn1/Gsn/Hp1bp3/Lima1/Map3k7/Mfn2/Mkks/Mlst8/Myadm/Nckap1/Ogt/Olfm1/Ptprs/Pum2/Rdx/Rnf6/Rtn4/Rufy3/Sema4a/Sema6d/Sin3a/Tpm1/Trim46/Tsc2/Wdr36/Wnk1/Wnt7b/Zfyve27/Bcl11a/Fchsd2/Fgf13/Mapt/Pafah1b1/Pak3/Sema4c/Vasp/Islr2/Sct/Sema6c/Shroom2/Shtn1/Tsc1/Efna5/Kcnma1/Pecam1/Aqp4/Picalm/Sema4f/Als2/Myo1c/Cyfip1/Slit2/Mgll/Sptan1/Sema4d/Sema3a/Ssh2/Vegfa/Cln3",78,"Shared core",0.0445205479452055,0.0212580398997057,2.09429223744292
"GO:0060560","developmental growth involved in morphogenesis","62/1752","281/18346",0.220640569395018,2.31042915874486,7.19280176494679,2.49421251828348e-10,1.12604102075429e-07,9.55475257003978e-08,"Abl1/Actr3/App/Cadm1/Cdkl3/Clasp2/Cttn/Cxcl12/Dcx/Ddr1/Dvl1/Epha7/Flrt3/Fn1/Olfm1/Postn/Prkcz/Ptprs/Pum2/Rarg/Rnf6/Rtn4/Rufy3/Sema4a/Sema6d/Sh3glb1/Sin3a/Spag9/Tgfbr2/Trim46/Wdr36/Wnt7b/Zfyve27/Bcl11a/Csf1/Ctnnb1/Fgf13/Mapt/Pafah1b1/Rims2/Sema4c/Dclk1/Islr2/Lhx2/Lzts2/Nfix/Nrp2/Sema6c/Shtn1/Efna5/Hdac6/Picalm/Sema4f/Cyfip1/Slit2/Zeb2/Mgll/Sema4d/Sema3a/Tmtc3/Vegfa/Nrn1l",62,"Shared core",0.0353881278538813,0.015316690286711,2.31042915874486
"GO:0106027","neuron projection organization","35/1752","115/18346",0.304347826086957,3.18696644828271,7.64427251403116,2.79572715660674e-10,1.17200876300892e-07,9.94480088564396e-08,"Abi2/Actr3/App/Arhgap33/Baiap2/Caprin1/Cask/Cdc42/Cntnap2/Cttn/Dctn1/Dnm1l/Dvl1/Ephb1/Homer1/Itga3/Mfn2/Opa1/Stau2/Ube3a/Zmynd8/Kif1a/Pafah1b1/Pak3/Pdlim5/Wasl/Arhgap44/Camk2b/Grin1/Rph3a/Dnm3/Hdac6/Lzts3/Mtmr2/Caprin2",35,"Shared core",0.0199771689497717,0.00626839638068244,3.18696644828271
"GO:0007163","establishment or maintenance of cell polarity","53/1752","224/18346",0.236607142857143,2.47762251304631,7.22994197159193,3.51387110097167e-10,1.37486063277351e-07,1.16660520552259e-07,"Abl1/Actr3/Ank3/Arhgef2/Cdc42/Cenpa/Clasp1/Clasp2/Crk/Dctn1/Dlg1/Ephb1/Fam89b/Fbxw11/Frmd4a/Gpsm1/Gsn/Igf1/Kat5/Kcnq2/Lims1/Map4/Myo18a/Nckap1/Pard6a/Pax6/Prkcz/Rhobtb1/Rufy3/Sipa1/Snap91/Syne4/Tsc2/Wnt7b/Amot/Cyp26b1/Fgf13/Lmna/Pafah1b1/Cyth1/Lhx2/Shtn1/Mark2/Camsap3/Mtcl1/Dlg3/Tcirg1/Dock7/Phldb2/Brsk1/Brsk2/Dlg5/Pard3",53,"Shared core",0.0302511415525114,0.0122097459936771,2.47762251304631
"GO:0061387","regulation of extent of cell growth","37/1752","128/18346",0.2890625,3.02690674942922,7.47719610187844,4.48010846555991e-10,1.64335978652319e-07,1.39443375990552e-07,"Abl1/Actr3/Cdkl3/Clasp2/Cttn/Cxcl12/Dcx/Epha7/Fn1/Olfm1/Ptprs/Pum2/Rnf6/Rtn4/Rufy3/Sema4a/Sema6d/Sin3a/Trim46/Wdr36/Zfyve27/Bcl11a/Fgf13/Mapt/Pafah1b1/Sema4c/Islr2/Sema6c/Shtn1/Efna5/Sema4f/Cyfip1/Slit2/Mgll/Sema4d/Sema3a/Vegfa",37,"Shared core",0.0211187214611872,0.00697699771067263,3.02690674942922
"GO:0048588","developmental cell growth","61/1752","280/18346",0.217857142857143,2.28128261578604,7.02010022544207,5.93268776812156e-10,2.04817320653561e-07,1.7379285344262e-07,"Abl1/Actr3/App/Camk2d/Cdkl3/Clasp2/Cttn/Cxcl12/Dcx/Ddr1/Dvl1/Epha7/Flrt3/Fn1/Igf1/Olfm1/Postn/Prkcz/Ptprs/Pum2/Rarg/Rnf6/Rtn4/Rufy3/Sema4a/Sema6d/Sh3glb1/Sin3a/Sorbs2/Spag9/Tgfbr2/Trim46/Wdr36/Zfyve27/Bcl11a/Ctnnb1/Fgf13/Mapt/Pafah1b1/Pdlim5/Rims2/Sema4c/Dclk1/Islr2/Lhx2/Nfix/Nrp2/Sema6c/Shtn1/Efna5/Hdac6/Picalm/Sema4f/Cyfip1/Slit2/Zeb2/Mgll/Sema4d/Sema3a/Vegfa/Nrn1l",61,"Shared core",0.0348173515981735,0.0152621824920964,2.28128261578604
"GO:0010976","positive regulation of neuron projection development","53/1752","230/18346",0.230434782608696,2.41298888227119,7.00683471217339,9.72137179832458e-10,3.16970728246483e-07,2.6895795308698e-07,"Abl1/Acsl6/Actr3/Ankrd27/Ap2a1/Apbb1/Baiap2/Caprin1/Cask/Clip1/Dab2ip/Ddr1/Dnm1l/Dpysl3/Dvl1/Dynlt1f/Elavl4/Hap1/Hspa5/Itga3/Mdk/Mfn2/Nptn/Ntrk2/Opa1/Ptbp1/Ptpn5/Pum2/Rapgef1/Stau2/Tenm3/Tsc2/Bcl11a/Gprc5b/Mapt/Negr1/Pafah1b1/Pak3/Camk2b/Cflar/Fgfr1/Magi2/Amigo1/Mark2/Itga6/Ezh2/Ikbkb/Lyn/Cyfip1/Dynlt1c/Caprin2/S100a9/Sphk1",53,"Shared core",0.0302511415525114,0.0125367927613649,2.41298888227119
"GO:0050767","regulation of neurogenesis","88/1752","483/18346",0.182194616977226,1.90784386019645,6.56988689732188,1.95649335619065e-09,6.04350500393837e-07,5.12807205991022e-07,"Actr3/Ankrd27/Arhgef2/Atf5/Baiap2/Bin1/Caprin1/Cask/Cdkl3/Cxcl12/Dcx/Dnm1l/Epha7/Faim/Fn1/Golga2/Hap1/Igf1/Kifap3/Lef1/Map6/Mbp/Mdk/Mfn2/Nf2/Nptn/Ntrk2/Numb/Opa1/Pax6/Ppp3ca/Prpf19/Ptprs/Rnf6/Rtn4/Rufy3/Sema4a/Sema6d/Sh3glb1/Shox2/Skil/Snap91/Srrt/Stau2/Trim46/Tsc2/Vcan/Wnt7b/Zfyve27/Bcl11a/Ctnnb1/Fgf13/Grip1/Mapt/Nkx2-2/Pafah1b1/Pak3/Sema4c/Synj1/Tnik/Ache/Camk2b/Islr2/Lhx2/Nkx6-2/Sema6c/Shtn1/Tbc1d24/Amigo1/Efna5/Sgk1/Sirt2/Kdm4a/Picalm/Sema4f/Ezh2/Rnf112/Fgfr3/Lyn/Nfatc4/Cyfip1/Dock7/Slit2/Zeb2/Caprin2/Sema4d/Sema3a/Vegfa",88,"Shared core",0.0502283105022831,0.0263272647988662,1.90784386019645
"GO:0050773","regulation of dendrite development","38/1752","141/18346",0.269503546099291,2.82209592279543,7.05725511394141,2.35619875432679e-09,6.91426524457195e-07,5.8669348982737e-07,"Abl1/Actr3/Ankrd27/Baiap2/Caprin1/Cask/Cdkl3/Clip1/Crk/Dab2ip/Dnm1l/Elavl4/Mfn2/Nsmf/Ntrk2/Numb/Opa1/Ppp3ca/Sh3glb1/Stau2/Bcl11a/Grip1/Pafah1b1/Pak3/Tnik/Ache/Camk2b/Grin1/Sez6/Tbc1d24/Rapgef4/Sgk1/Ezh2/Nfatc4/Cyfip1/Caprin2/Carm1/Sema4d",38,"Shared core",0.021689497716895,0.00768559904066281,2.82209592279543
