"gene_id","Forebrain","Hindbrain","Midbrain","membership"
"Gm10033",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Gm14288",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Gm3383",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Gng12",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Hmgn3",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Hspa2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Irf9",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Lrfn1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Madd",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Med23",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Mgll",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Midn",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Mturn",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Nagpa",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ost4",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Pear1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ppp1r1c",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Ptbp3",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"Pxn",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Rbpms",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Rfesd",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Rnf130",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Rnls",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
