"isoform_id","gene_id","gene_name","region","start_stage","end_stage","n_stages","direction","max_abs_usage_difference","mean_abs_usage_difference","worst_pair_q","flanking_max_abs_difference","gene_q","replicate_separation","replicate_consistent","reciprocal_exchange"
"NM_133885","Osbpl9","Osbpl9","Midbrain","15.5","15.5",1,"lower",0.3547,0.3547,0.000109301532966422,0.0569000000000001,0.000291206299544076,0.3431,TRUE,TRUE
"NM_028146","Dbndd1","Dbndd1","Midbrain","15.5","15.5",1,"lower",0.409875,0.409875,0.000109738189053747,0.00630000000000031,0.000291206299544076,0.2563,TRUE,TRUE
"NM_178142","Lcorl","Lcorl","Midbrain","15.5","15.5",1,"lower",0.28315,0.28315,0.000112877584211692,0.0278,0.00030015325918579,0.2633,TRUE,TRUE
"NM_013506","Eif4a2","Eif4a2","Midbrain","15.5","15.5",1,"lower",0.331425,0.331425,0.000113045909913138,0.0920999999999998,5.84173267125623e-08,0.3149,TRUE,TRUE
"NM_001173477","Speg","Speg","Midbrain","15.5","15.5",1,"higher",0.14275,0.14275,0.00011323162260932,0.0655500000000001,4.21381546913519e-11,0.1251,TRUE,TRUE
"NM_010211","Fhl1","Fhl1","Midbrain","15.5","15.5",1,"higher",0.20915,0.20915,0.000114650977395191,0.0291499999999999,4.6424208771705e-12,0.1751,TRUE,TRUE
"NM_001163450","Mapk8ip3","Mapk8ip3","Midbrain","15.5","15.5",1,"lower",0.140575,0.140575,0.000114833416230648,0.02015,0.000667444929348156,0.1285,TRUE,FALSE
"NM_145760","Arfgap1","Arfgap1","Midbrain","15.5","15.5",1,"higher",0.3183,0.3183,0.000115569424180102,0.0306999999999999,1.76329268716876e-08,0.2877,TRUE,TRUE
"NM_001164199","Prkacb","Prkacb","Midbrain","15.5","15.5",1,"lower",0.226875,0.226875,0.000129972889028018,0.08365,1.41889480042792e-05,0.2013,TRUE,TRUE
"NM_025389","Anapc11","Anapc11","Midbrain","15.5","15.5",1,"lower",0.1689,0.1689,0.000134455682340432,0.0752500000000002,0.000195234601842322,0.1325,TRUE,TRUE
"NM_001165988","Ubap2l","Ubap2l","Midbrain","15.5","15.5",1,"higher",0.16045,0.16045,0.00014122313287003,0.0378,0.000923097995314306,0.1575,TRUE,FALSE
