filename,bytes,sha256,role,redistribution_status
methylation_subset_grl.RData,783876944,951cb2d288d3cf84932b52207743de1771cef6bd3fa37f5c7f5e90eb2eeda1be,replicate-level WGBS ranges,permission unresolved; excluded from release
forebrain_isoforms_data_with_dmr.rds,52141687,0f6e72a30bdb66e339faedcbac6f1264022c1d6681019f864656d2ed30b7c028,forebrain candidate-region definitions,permission unresolved; excluded from release
midbrain_isoforms_data_with_dmr.rds,53777510,b15519b39c748c948f9d045cf7a4a2e60d422e92fce9c3b102a43e4e7a870773,midbrain candidate-region definitions,permission unresolved; excluded from release
foreBrain.RData,251250623,ecd15f0e83e18edf92e5407ebb083756b1f7c0b6314a780f4459073288629314,forebrain transcript usage and expression,permission unresolved; excluded from release
isoform_final.RData,129799176,03b02da3e87a64c15e291ea41b62764659d217bb9ac9a6c770a81c2b298c4d55,midbrain transcript usage and expression,permission unresolved; excluded from release
methylation_expression_correlation_data.csv,1698161,75201c79a09e84c437543a4a270a381cb04b81e56940ce6d01d9d67de53bde6f,archived correlation table,author-derived; release approval required
significant_enriched_kmers_categorized.csv,3588,29414a2f2861aa0498270a3aa874924a9fc3945f6d35d4a296e93895f09c3dec,archived sequence-context summary,author-derived; release approval required
enrichment_analysis_results.csv,48128,85d5e7dd9b01c41fe023ececdb1bd3876d3fd13e1d308e688cb5cdf2ccd194df,archived chromatin-state summary,author-derived; release approval required
combined_shape_test_results.csv,2416,697b4b9f8e496beb60e05301506c40d4b870a6e0cb7cbc9f169d990ad70ba4c6,corrected DNA-shape counter-audit input,author-derived; release approval required
